NUMERO_CARTE,NOM_FICHIER,DATEPUBF,DATSUPF,ECHELLE,EDIT,FORMAT,ZONE,PAYS,REGION,AUTEUR,AURSECD,lien,LONGWEST,LONGEST,LATSUD,LATNORD
106,CM_106_Pub_1822,1822,1877,1/46 500,Dépôt Général de la Marine.,GA (85 x 56 cm),"ATLANTIQUE,IROISE (Mer)",FRANCE (Côte Ouest),BREST (Abords),BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_106_Pub_1822/file/ARCHIVES_CM_106_Pub_1822.7z,,,,
112,CM_112_Pub_1822_Corr_1897,1822,1902,1/14 600,Dépôt Général de la Marine.,DA (56 x 41 cm),ATLANTIQUE,FRANCE (Côte Ouest),BREST (Goulet),BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_112_Pub_1822_Corr_1897/file/ARCHIVES_CM_112_Pub_1822_Corr_1897.7z,,,,
113,CM_113_Pub_1823_Corr_1877,1823,1880,1/46 300,Dépôt Général de la Marine.,GA (86 x 60 cm),ATLANTIQUE,FRANCE (Côte Ouest),"BREST (Rade), DOUARNENEZ (Baie)",BEAUTEMPS-BEAUPRE,"COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_113_Pub_1823_Corr_1877/file/ARCHIVES_CM_113_Pub_1823_Corr_1877.7z,,,,
131,CM_131_Pub_1829,1829,0,1/123 000,Dépôt Général de la Marine.,GA (86 x 56 cm),ATLANTIQUE,FRANCE (Côte Ouest),"LORIENT, SAINT, NAZAIRE","BEAUTEMPS-BEAUPRE (Charles-François),HYDE DE NEUVILLE,BESANÇON,COLLIN E,AUBERT DU PETIT-THOUARS (Abel),LE SAULNIER DE VAUHELLO","COLLIN (E),BESANCON",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_131_Pub_1829/file/ARCHIVES_CM_131_Pub_1829.7z,,,,
232,CM_232_Pub_1831,1831,0,1/266 200,Dépôt Général de la Marine.,GA (90 x 60 cm),MEDITERRANEE,,CORSE,"DE HELL,DE RIGNY,DELOFFRE (T),MATHIEU (Anfré),ALLE (T),LAPIERRE (E),BRAIT,LONG (E),BLONDEAU (E),HACQ (J.M)","BLONDEAU,HACQ",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_232_Pub_1831/file/ARCHIVES_CM_232_Pub_1831.7z,,,,
321,CM_321_Pub_1784_Ed_1860,1784,1885,1/226 700,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (89 x 59 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Ouest), SAINT, GREGORY (Cap), FEROLLE (Pointe), GREGORY (Pointe)","DU PETIT-THOUARS,DE TESSAN,CHIRON DU BROSSAI,MENARD,DE MACKAU,HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_321_Pub_1784_Ed_1860/file/ARCHIVES_CM_321_Pub_1784_Ed_1860.7z,,,,
321,CM_321_Pub_1784_Ed_1864,1784,1885,1/226 700,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (89 x 59 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Ouest), SAINT, GREGORY (Cap), FEROLLE (Pointe), GREGORY (Pointe)","FISQUET,GARNAULT,DE MACKAU,DE ROSAMEL (Jh),HACQ (J.M),CHASSANT","CHASSANT,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_321_Pub_1784_Ed_1864/file/ARCHIVES_CM_321_Pub_1784_Ed_1864.7z,,,,
322,CM_322_Pub_1784_Ed_1860,1784,0,1/227 200,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (91 x 65 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Nord), FEROLLE (Pointe), BELLE, ISLE","SMYTH (W.H),HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_322_Pub_1784_Ed_1860/file/ARCHIVES_CM_322_Pub_1784_Ed_1860.7z,,,,
325,CM_325_Pub_1784,1784,1835,1/224 500,"Dépôt Général des Cartes, Plans et Journaux de la Marine.",GA (90 x 61 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Est), BAULD (Cap), SAINT, JOHN (Cap)","FISQUET,GARNAULT,DE ROSAMEL,DE MACKAU,HACQ (J.M),JACOBS","JACOBS,HACQ (J.M)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_325_Pub_1784/file/ARCHIVES_CM_325_Pub_1784.7z,,,,
326,CM_326_Pub_1792,1792,0,1/74 700,"Dépôt des Cartes, Plans et Journaux de la Marine.",GA (87 x 58 cm),ATLANTIQUE,,"TERRE-NEUVE (Côte Est), FOGO (île)","NIXON,BARKER,HAINES,KAUTZ",KAUTZ,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_326_Pub_1792/file/ARCHIVES_CM_326_Pub_1792.7z,,,,
